size 2pattern,count: 154
CorePattern{ childAttr=24, parentAttr=[1]} #SUP: 241 #CONF: 0.3814349412241589
CorePattern{ childAttr=7, parentAttr=[16]} #SUP: 158 #CONF: 0.24925074925074925
CorePattern{ childAttr=15, parentAttr=[25]} #SUP: 209 #CONF: 0.3206429780033841
CorePattern{ childAttr=7, parentAttr=[18]} #SUP: 171 #CONF: 0.24675324675324675
CorePattern{ childAttr=24, parentAttr=[7]} #SUP: 228 #CONF: 0.33563032022699635
CorePattern{ childAttr=7, parentAttr=[24]} #SUP: 186 #CONF: 0.4255744255744256
CorePattern{ childAttr=24, parentAttr=[10]} #SUP: 236 #CONF: 0.3579246047831374
CorePattern{ childAttr=7, parentAttr=[25]} #SUP: 178 #CONF: 0.32317682317682317
CorePattern{ childAttr=16, parentAttr=[3]} #SUP: 130 #CONF: 0.33539094650205764
CorePattern{ childAttr=24, parentAttr=[12]} #SUP: 232 #CONF: 0.35022294284556144
CorePattern{ childAttr=16, parentAttr=[6]} #SUP: 136 #CONF: 0.42661179698216734
CorePattern{ childAttr=16, parentAttr=[7]} #SUP: 126 #CONF: 0.3449931412894376
CorePattern{ childAttr=24, parentAttr=[16]} #SUP: 207 #CONF: 0.23307661126874746
CorePattern{ childAttr=24, parentAttr=[18]} #SUP: 222 #CONF: 0.24483177948925822
CorePattern{ childAttr=16, parentAttr=[12]} #SUP: 131 #CONF: 0.34636488340192045
CorePattern{ childAttr=24, parentAttr=[22]} #SUP: 228 #CONF: 0.4989866234292663
CorePattern{ childAttr=16, parentAttr=[15]} #SUP: 133 #CONF: 0.40260631001371744
size 3pattern,count: 0
size 4pattern,count: 0
